success,grade_1,grade_2
0,34.6237,78.0247
0,30.2867,43.895
0,35.8474,72.9022
1,60.1826,86.3086
1,79.0327,75.3444
0,45.0833,56.3164
1,61.1067,96.5114
1,75.0247,46.554
1,76.0988,87.4206
1,84.4328,43.5334
0,95.8616,38.2253
0,75.0137,30.6033
1,82.3071,76.482
1,69.3646,97.7187
0,39.5383,76.0368
1,53.9711,89.2074
1,69.0701,52.7405
0,67.9469,46.6786
1,70.6615,92.9271
1,76.9788,47.576
0,67.372,42.8384
1,89.6768,65.7994
0,50.5348,48.8558
0,34.2121,44.2095
1,77.9241,68.9724
1,62.271,69.9545
1,80.1902,44.8216
0,93.1144,38.8007
0,61.8302,50.2561
0,38.7858,64.9957
1,61.3793,72.8079
1,85.4045,57.052
0,52.108,63.1276
1,52.0454,69.4329
0,40.2369,71.1677
0,54.6351,52.2139
0,33.9155,98.8694
1,64.177,80.9081
0,74.7893,41.5734
0,34.1836,75.2377
1,83.9024,56.308
0,51.5477,46.8563
1,94.4434,65.5689
0,82.3688,40.6183
0,51.0478,45.8227
0,62.2227,52.061
1,77.193,70.4582
1,97.7716,86.7278
1,62.0731,96.7688
1,91.565,88.6963
1,79.9448,74.1631
1,99.2725,60.999
1,90.5467,43.3906
0,34.5245,60.3963
0,50.2865,49.8045
0,49.5867,59.809
1,97.6456,68.8616
0,32.5772,95.5985
1,74.2487,69.8246
1,71.7965,78.4536
1,75.3956,85.7599
0,35.2861,47.0205
0,56.2538,39.2615
0,30.0588,49.593
0,44.6683,66.4501
0,66.5609,41.0921
1,40.4576,97.5352
0,49.0726,51.8832
1,80.2796,92.1161
1,66.7467,60.9914
0,32.7228,43.3072
1,64.0393,78.0317
1,72.3465,96.2276
1,60.4579,73.095
1,58.841,75.8584
1,99.8279,72.3693
1,47.2643,88.4759
1,50.4582,75.8099
0,60.4556,42.5084
0,82.2267,42.7199
1,88.9139,69.8038
1,94.8345,45.6943
1,67.3193,66.5894
1,57.2387,59.5143
1,80.3668,90.9601
1,68.4685,85.5943
0,42.0755,78.8448
1,75.4777,90.4245
1,78.6354,96.6474
0,52.348,60.7695
1,94.0943,77.1591
1,90.4486,87.5088
0,55.4822,35.5707
1,74.4927,84.8451
1,89.8458,45.3583
1,83.4892,48.3803
1,42.2617,87.1039
1,99.315,68.7754
1,55.34,64.9319
1,74.7759,89.5298
